timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1758466758726,322,performance testing,403,Forbidden,Thread Group 1-10,text,false,,9152,109,10,10,https://chatgpt.com/,309,0,252
1758466758431,617,performance testing,403,Forbidden,Thread Group 1-7,text,false,,9158,109,10,10,https://chatgpt.com/,604,0,548
1758466758230,818,performance testing,403,Forbidden,Thread Group 1-5,text,false,,9154,109,10,10,https://chatgpt.com/,813,0,747
1758466758530,518,performance testing,403,Forbidden,Thread Group 1-8,text,false,,9148,109,10,10,https://chatgpt.com/,505,0,449
1758466758629,448,performance testing,403,Forbidden,Thread Group 1-9,text,false,,9129,109,10,10,https://chatgpt.com/,408,0,346
1758466757980,1099,performance testing,403,Forbidden,Thread Group 1-2,text,false,,9131,109,10,10,https://chatgpt.com/,1097,0,995
1758466758031,1053,performance testing,403,Forbidden,Thread Group 1-3,text,false,,9150,109,10,10,https://chatgpt.com/,1052,0,948
1758466758330,766,performance testing,403,Forbidden,Thread Group 1-6,text,false,,9174,109,10,10,https://chatgpt.com/,712,0,645
1758466758132,970,performance testing,403,Forbidden,Thread Group 1-4,text,false,,9139,109,10,10,https://chatgpt.com/,903,0,843
1758466759053,139,performance testing,403,Forbidden,Thread Group 1-8,text,false,,9556,109,10,10,https://chatgpt.com/,138,0,69
1758466759053,146,performance testing,403,Forbidden,Thread Group 1-5,text,false,,9581,109,10,10,https://chatgpt.com/,145,0,82
1758466759078,126,performance testing,403,Forbidden,Thread Group 1-9,text,false,,9560,109,10,10,https://chatgpt.com/,120,0,68
1758466759053,153,performance testing,403,Forbidden,Thread Group 1-7,text,false,,9583,109,10,10,https://chatgpt.com/,152,0,82
1758466759085,141,performance testing,403,Forbidden,Thread Group 1-3,text,false,,9583,109,10,10,https://chatgpt.com/,121,0,68
1758466759079,151,performance testing,403,Forbidden,Thread Group 1-2,text,false,,9556,109,10,10,https://chatgpt.com/,147,0,73
1758466759053,177,performance testing,403,Forbidden,Thread Group 1-10,text,false,,9581,109,10,10,https://chatgpt.com/,176,0,82
1758466759097,347,performance testing,403,Forbidden,Thread Group 1-6,text,false,,9604,109,10,10,https://chatgpt.com/,346,0,101
1758466759102,344,performance testing,403,Forbidden,Thread Group 1-4,text,false,,9606,109,10,10,https://chatgpt.com/,342,0,98
1758466757979,1467,performance testing,403,Forbidden,Thread Group 1-1,text,false,,9150,109,10,10,https://chatgpt.com/,1055,0,995
1758466759200,295,performance testing,403,Forbidden,Thread Group 1-5,text,false,,9562,109,10,10,https://chatgpt.com/,293,0,248
1758466759193,314,performance testing,403,Forbidden,Thread Group 1-8,text,false,,9600,109,10,10,https://chatgpt.com/,310,0,255
1758466759204,315,performance testing,403,Forbidden,Thread Group 1-9,text,false,,9577,109,10,10,https://chatgpt.com/,313,0,272
