timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1758467177664,369,Perfromance-testing,200,OK,Thread Group 1-7,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,328,0,257
1758467177764,269,Perfromance-testing,200,OK,Thread Group 1-8,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,236,0,159
1758467177565,529,Perfromance-testing,200,OK,Thread Group 1-6,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,430,0,355
1758467177864,254,Perfromance-testing,200,OK,Thread Group 1-9,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,232,0,122
1758467177466,657,Perfromance-testing,200,OK,Thread Group 1-5,text,true,,35887,120,10,10,https://www.cognizant.com/us/en,543,0,454
1758467178036,88,Perfromance-testing,200,OK,Thread Group 1-7,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,86,0,0
1758467177366,758,Perfromance-testing,200,OK,Thread Group 1-4,text,true,,35887,120,10,10,https://www.cognizant.com/us/en,628,0,554
1758467178036,88,Perfromance-testing,200,OK,Thread Group 1-8,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,87,0,0
1758467177266,870,Perfromance-testing,200,OK,Thread Group 1-3,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,726,0,654
1758467177180,956,Perfromance-testing,200,OK,Thread Group 1-2,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,812,0,741
1758467177180,968,Perfromance-testing,200,OK,Thread Group 1-1,text,true,,35887,120,10,10,https://www.cognizant.com/us/en,829,0,741
1758467178095,102,Perfromance-testing,200,OK,Thread Group 1-6,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,88,0,0
1758467178125,76,Perfromance-testing,200,OK,Thread Group 1-8,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,67,0,0
1758467178125,80,Perfromance-testing,200,OK,Thread Group 1-7,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,67,0,0
1758467178119,87,Perfromance-testing,200,OK,Thread Group 1-9,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,75,0,0
1758467177963,251,Perfromance-testing,200,OK,Thread Group 1-10,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,221,0,166
1758467178124,102,Perfromance-testing,200,OK,Thread Group 1-5,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,82,0,0
1758467178125,108,Perfromance-testing,200,OK,Thread Group 1-4,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,64,0,0
1758467178137,120,Perfromance-testing,200,OK,Thread Group 1-3,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,89,0,0
1758467178137,128,Perfromance-testing,200,OK,Thread Group 1-2,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,90,0,0
1758467178149,133,Perfromance-testing,200,OK,Thread Group 1-1,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,96,0,0
1758467178201,81,Perfromance-testing,200,OK,Thread Group 1-8,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,76,0,0
1758467178198,85,Perfromance-testing,200,OK,Thread Group 1-6,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,78,0,0
1758467178206,77,Perfromance-testing,200,OK,Thread Group 1-7,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,71,0,0
1758467178206,77,Perfromance-testing,200,OK,Thread Group 1-9,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,71,0,0
1758467178215,79,Perfromance-testing,200,OK,Thread Group 1-10,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,71,0,0
1758467178227,84,Perfromance-testing,200,OK,Thread Group 1-5,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,72,0,0
1758467178233,107,Perfromance-testing,200,OK,Thread Group 1-4,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,67,0,0
1758467178258,93,Perfromance-testing,200,OK,Thread Group 1-3,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,87,0,0
1758467178284,92,Perfromance-testing,200,OK,Thread Group 1-6,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,79,0,0
1758467178265,111,Perfromance-testing,200,OK,Thread Group 1-2,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,96,0,0
1758467178283,97,Perfromance-testing,200,OK,Thread Group 1-8,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,80,0,0
1758467178294,86,Perfromance-testing,200,OK,Thread Group 1-10,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,81,0,0
1758467178284,97,Perfromance-testing,200,OK,Thread Group 1-9,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,80,0,0
1758467178283,98,Perfromance-testing,200,OK,Thread Group 1-1,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,82,0,0
1758467178284,97,Perfromance-testing,200,OK,Thread Group 1-7,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,82,0,0
1758467178311,73,Perfromance-testing,200,OK,Thread Group 1-5,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,71,0,0
1758467178341,76,Perfromance-testing,200,OK,Thread Group 1-4,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,65,0,0
1758467178352,76,Perfromance-testing,200,OK,Thread Group 1-3,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,64,0,0
1758467178384,141,Perfromance-testing,200,OK,Thread Group 1-5,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,118,0,0
1758467178377,149,Perfromance-testing,200,OK,Thread Group 1-2,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,128,0,0
1758467178381,151,Perfromance-testing,200,OK,Thread Group 1-8,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,125,0,0
1758467178377,155,Perfromance-testing,200,OK,Thread Group 1-6,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,129,0,0
1758467178382,150,Perfromance-testing,200,OK,Thread Group 1-9,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,124,0,0
1758467178381,152,Perfromance-testing,200,OK,Thread Group 1-10,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,127,0,0
1758467178382,151,Perfromance-testing,200,OK,Thread Group 1-7,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,125,0,0
1758467178382,151,Perfromance-testing,200,OK,Thread Group 1-1,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,125,0,0
1758467178417,120,Perfromance-testing,200,OK,Thread Group 1-4,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,117,0,0
1758467178429,109,Perfromance-testing,200,OK,Thread Group 1-3,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,108,0,0
1758467178526,91,Perfromance-testing,200,OK,Thread Group 1-5,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,79,0,0
1758467178527,92,Perfromance-testing,200,OK,Thread Group 1-2,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,81,0,0
1758467178538,82,Perfromance-testing,200,OK,Thread Group 1-4,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,71,0,0
1758467178538,83,Perfromance-testing,200,OK,Thread Group 1-3,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,78,0,0
1758467178534,129,Perfromance-testing,200,OK,Thread Group 1-10,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,84,0,0
1758467178534,129,Perfromance-testing,200,OK,Thread Group 1-7,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,85,0,0
1758467178533,130,Perfromance-testing,200,OK,Thread Group 1-9,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,86,0,0
1758467178533,130,Perfromance-testing,200,OK,Thread Group 1-6,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,85,0,0
1758467178533,130,Perfromance-testing,200,OK,Thread Group 1-8,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,86,0,0
1758467178534,136,Perfromance-testing,200,OK,Thread Group 1-1,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,86,0,0
1758467178617,84,Perfromance-testing,200,OK,Thread Group 1-5,text,true,,35886,120,10,10,https://www.cognizant.com/us/en,74,0,0
